Position Date,Team,Played,Points,Actual Position
2019-03-17,Liverpool,31,76,1
2019-03-17,Man City,30,74,2
2019-03-17,Tottenham,30,61,3
2019-03-17,Arsenal,30,60,4
2019-03-17,Man Utd,30,58,5
2019-03-17,Chelsea,30,57,6
2019-03-17,Wolves,30,44,7
2019-03-17,Watford,30,43,8
2019-03-17,West Ham,31,42,9
2019-03-17,Leicester,31,41,10
2019-03-17,Everton,31,40,11
2019-03-17,Bournemouth,31,38,12
2019-03-17,Newcastle,31,35,13
2019-03-17,Crystal Palace,30,33,14
2019-03-17,Brighton,29,33,15
2019-03-17,Southampton,30,30,16
2019-03-17,Burnley,31,30,17
2019-03-17,Cardiff,30,28,18
2019-03-17,Fulham,31,17,19
2019-03-17,Huddersfield,31,14,20
